typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 12637 ok/s p99=12.88ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-after-call_memory.json
FUNCTION                                                             CALLS     WORDS  PER CALL  [    %]
'Elixir.TypeSafe.Client':emit/3                                       4522     46068     10.19  [ 0.19]
'Elixir.Mint.HTTP2':add_pseudo_headers/4                              2261     45220     20.00  [ 0.19]
'Elixir.Mint.HTTP2':split_payload_in_chunks/3                         4522     40782      9.02  [ 0.17]
'Elixir.Mint.HTTP2':encode_data/4                                     4522     40698      9.00  [ 0.17]
'Elixir.Mint.HTTP2':handle_data/3                                     2261     38437     17.00  [ 0.16]
'Elixir.TypeSafe.Client':next/1                                       5763     36176      6.28  [ 0.15]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-3-'/2               2261     36176     16.00  [ 0.15]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-2-'/2                2261     36176     16.00  [ 0.15]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-3-'/2                      2261     36176     16.00  [ 0.15]
'Elixir.Mint.HTTP2':negotiate/4                                          1     36129  36129.00  [ 0.15]
'Elixir.TypeSafe.Client':flush_uploads/1                              3605     32637      9.05  [ 0.13]
'Elixir.TypeSafe.Request':retry/1                                     2261     31654     14.00  [ 0.13]
'Elixir.Mint.HTTP2':stream/2                                          1351     29932     22.16  [ 0.12]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-1-'/1   2261     29393     13.00  [ 0.12]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-6-'/1                   2261     29393     13.00  [ 0.12]
'Elixir.Mint.HTTP2':stream_request_body/3                             4522     27594      6.10  [ 0.11]
'Elixir.Mint.HTTP':stream_request_body/3                              4522     27132      6.00  [ 0.11]
'Elixir.Mint.HTTP2':get_setting/2                                     8126     24882      3.06  [ 0.10]
'Elixir.Mint.HTTP2':maybe_concat_and_handle_new_data/2                1351     23618     17.48  [ 0.10]
'Elixir.Mint.HTTP':request/5                                          2261     22610     10.00  [ 0.09]
'Elixir.Mint.HTTP2':'fetch_stream!'/2                                 6783     20979      3.09  [ 0.09]
'Elixir.TypeSafe.Client':deliver/3                                    2261     20391      9.02  [ 0.08]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-1-'/2                   6783     20349      3.00  [ 0.08]
'Elixir.TypeSafe.Request':options/1                                   2261     18088      8.00  [ 0.07]
'Elixir.Mint.HTTP':request_body_window/2                              4522     18088      4.00  [ 0.07]
'Elixir.TypeSafe.Client':handle_info/2                                1352     17595     13.01  [ 0.07]
'Elixir.Mint.HTTP':'open?'/2                                          3605     14420      4.00  [ 0.06]
'Elixir.Mint.HTTP2':get_window_size/2                                 9044     13818      1.53  [ 0.06]
'Elixir.Mint.HTTP2':request_body_window/2                             4522     13566      3.00  [ 0.06]
'Elixir.Mint.HTTP2':add_default_headers/2                             2261     11473      5.07  [ 0.05]
'Elixir.TypeSafe.Client':'-submit/3-fun-0-'/2                         2261      6993      3.09  [ 0.03]
'Elixir.TypeSafe.Client':'-response_event/3-fun-4-'/2                 2261      6825      3.02  [ 0.03]
'Elixir.TypeSafe.Client':handle_call/3                                2261      6783      3.00  [ 0.03]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-0-'/3                     4522      6783      1.50  [ 0.03]
'Elixir.TypeSafe.Client':'-response_event/3-fun-0-'/2                 2261      6783      3.00  [ 0.03]
'Elixir.TypeSafe.Request':state/1                                     2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':maybe_refill_stream/3                             2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-2-'/2               2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-2-'/2                         2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-0-'/2                         2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-1-'/2                2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-2-'/2                      2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-encode_data/4-fun-0-'/3                         2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP':stream/2                                           1351      5404      4.00  [ 0.02]
'Elixir.Mint.HTTP2':handle_consumed_all_frames/2                      1351      4053      3.00  [ 0.02]
'Elixir.TypeSafe.Client':start_link/1                                    1      1803   1803.00  [ 0.01]
'Elixir.Mint.HTTP2':build_preface/2                                      1       520    520.00  [ 0.00]
'Elixir.TypeSafe.Client':pump/1                                       3613       518      0.14  [ 0.00]
'Elixir.Mint.HTTP2':connect/4                                            1       477    477.00  [ 0.00]
'Elixir.Mint.HTTP':connect/4                                             1       454    454.00  [ 0.00]
'Elixir.TypeSafe.Client':now/0                                       14807       294      0.02  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-1-'/2      1       293    293.00  [ 0.00]
'Elixir.Mint.HTTP2':initiate/5                                           1       265    265.00  [ 0.00]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-4-'/2                   6783       210      0.03  [ 0.00]
'Elixir.Mint.HTTP2':'send_connection_error!'/3                           1       140    140.00  [ 0.00]
'Elixir.Mint.HTTP2':controlling_process/2                                1        77     77.00  [ 0.00]
'Elixir.Mint.HTTP2':set_mode/2                                           1        66     66.00  [ 0.00]
'Elixir.TypeSafe.Client':init/1                                          1        54     54.00  [ 0.00]
'Elixir.TypeSafe.Client':start_configured/1                              1        42     42.00  [ 0.00]
'Elixir.TypeSafe.Client':'-response_event/3-fun-9-'/1                 2261        42      0.02  [ 0.00]
'Elixir.Mint.HTTP2':apply_client_settings/1                              1        42     42.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-11-'/2                 1        36     36.00  [ 0.00]
'Elixir.Mint.HTTP2':validate_frame/2                                  6786        33      0.00  [ 0.00]
'Elixir.Mint.HTTP2':handle_settings/3                                    2        30     15.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-0-'/2                               1        18     18.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_server_settings/2-fun-4-'/2                  1        12     12.00  [ 0.00]
'Elixir.Mint.HTTP2':'-apply_client_settings/2-fun-1-'/2                  3         8      2.67  [ 0.00]
'Elixir.Mint.HTTP2':wrap_error/1                                         1         7      7.00  [ 0.00]
'Elixir.Mint.HTTP2':update_client_initial_window_size/2                  1         6      6.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-0-'/4      1         6      6.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-2-'/2                               1         5      5.00  [ 0.00]
'Elixir.Mint.HTTP':controlling_process/2                                 1         4      4.00  [ 0.00]
'Elixir.Mint.HTTP':set_mode/2                                            1         4      4.00  [ 0.00]
'Elixir.TypeSafe.Client':terminate/2                                     1         3      3.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-3-'/2      1         3      3.00  [ 0.00]
'Elixir.Mint.HTTP':close/1                                               1         2      2.00  [ 0.00]
                                                                            24380501            [100.0]
