typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 9405 ok/s p99=15.04ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-before-call_memory.json
FUNCTION                                                              CALLS     WORDS  PER CALL  [    %]
'Elixir.Mint.HTTP2':add_pseudo_headers/4                               2261     45220     20.00  [ 0.17]
'Elixir.Mint.HTTP2':stream_request_body/3                              6783     40950      6.04  [ 0.16]
'Elixir.Mint.HTTP':stream_request_body/3                               6783     40698      6.00  [ 0.16]
'Elixir.Mint.HTTP2':handle_data/3                                      2261     38437     17.00  [ 0.15]
'Elixir.TypeSafe.Client':next/1                                        6882     36176      5.26  [ 0.14]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-3-'/2                2261     36176     16.00  [ 0.14]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-2-'/2                 2261     36176     16.00  [ 0.14]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-3-'/2                       2261     36176     16.00  [ 0.14]
'Elixir.Mint.HTTP2':negotiate/4                                           1     36129  36129.00  [ 0.14]
'Elixir.Mint.HTTP2':stream/2                                           1600     35242     22.03  [ 0.13]
'Elixir.Mint.HTTP2':get_setting/2                                     10636     32328      3.04  [ 0.12]
'Elixir.TypeSafe.Request':retry/1                                      2261     31654     14.00  [ 0.12]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-1-'/1    2261     29393     13.00  [ 0.11]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-6-'/1                    2261     29393     13.00  [ 0.11]
'Elixir.Mint.HTTP2':'fetch_stream!'/2                                  9044     27174      3.00  [ 0.10]
'Elixir.Mint.HTTP':request_body_window/2                               6783     27132      4.00  [ 0.10]
'Elixir.Mint.HTTP2':maybe_concat_and_handle_new_data/2                 1600     24488     15.30  [ 0.09]
'Elixir.Mint.HTTP':'open?'/2                                           6115     24460      4.00  [ 0.09]
'Elixir.Mint.HTTP':request/5                                           2261     22610     10.00  [ 0.09]
'Elixir.TypeSafe.Client':deliver/3                                     2261     20349      9.00  [ 0.08]
'Elixir.Mint.HTTP2':get_window_size/2                                 13566     20349      1.50  [ 0.08]
'Elixir.Mint.HTTP2':request_body_window/2                              6783     20349      3.00  [ 0.08]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-1-'/2                    6783     20349      3.00  [ 0.08]
'Elixir.TypeSafe.Request':options/1                                    2261     18088      8.00  [ 0.07]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-0-'/3                      6783     13566      2.00  [ 0.05]
'Elixir.Mint.HTTP2':add_default_headers/2                              2261     11599      5.13  [ 0.04]
'Elixir.TypeSafe.Client':handle_call/3                                 2261      6783      3.00  [ 0.03]
'Elixir.TypeSafe.Client':'-submit/3-fun-0-'/2                          2261      6783      3.00  [ 0.03]
'Elixir.TypeSafe.Client':'-response_event/3-fun-0-'/2                  2261      6783      3.00  [ 0.03]
'Elixir.TypeSafe.Client':'-response_event/3-fun-4-'/2                  2261      6783      3.00  [ 0.03]
'Elixir.TypeSafe.Request':state/1                                      2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':maybe_refill_stream/3                              2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-2-'/2                2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-2-'/2                          2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-0-'/2                          2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-1-'/2                 2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-2-'/2                       2261      6783      3.00  [ 0.03]
'Elixir.Mint.HTTP':stream/2                                            1600      6400      4.00  [ 0.02]
'Elixir.Mint.HTTP2':handle_consumed_all_frames/2                       1600      4800      3.00  [ 0.02]
'Elixir.TypeSafe.Client':start_link/1                                     1      1803   1803.00  [ 0.01]
'Elixir.TypeSafe.Client':now/0                                       217266      1554      0.01  [ 0.01]
'Elixir.Mint.HTTP2':build_preface/2                                       1       520    520.00  [ 0.00]
'Elixir.TypeSafe.Client':pump/1                                        6123       518      0.08  [ 0.00]
'Elixir.Mint.HTTP2':connect/4                                             1       477    477.00  [ 0.00]
'Elixir.Mint.HTTP':connect/4                                              1       454    454.00  [ 0.00]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-1-'/2       1       293    293.00  [ 0.00]
'Elixir.Mint.HTTP2':initiate/5                                            1       265    265.00  [ 0.00]
'Elixir.Mint.HTTP2':'send_connection_error!'/3                            1       152    152.00  [ 0.00]
'Elixir.Mint.HTTP2':controlling_process/2                                 1        77     77.00  [ 0.00]
