==> typesafe_ai
Compiling 12 files (.ex)
typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 8108 ok/s p99=17.0ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-before-call_time.json
FUNCTION                                                                 CALLS  TIME (us)  PER CALL  [    %]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-1-'/2                           2261        766      0.34  [ 0.23]
'Elixir.TypeSafe.Client':dispatch/1                                       8376        764      0.09  [ 0.23]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-3-'/3                    2261        740      0.33  [ 0.22]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-1-'/3                         6783        729      0.11  [ 0.22]
'Elixir.TypeSafe.Client':deliver/3                                        2261        704      0.31  [ 0.21]
'Elixir.Mint.HTTP2':join_cookie_headers/1                                 2261        665      0.29  [ 0.20]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-2-'/2                       6783        658      0.10  [ 0.20]
'Elixir.TypeSafe.Client':event/2                                          9044        648      0.07  [ 0.19]
'Elixir.Mint.HTTP2':add_default_headers/2                                 2261        640      0.28  [ 0.19]
'Elixir.Mint.HTTP2':delete_stream/2                                       2261        616      0.27  [ 0.19]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-4-'/3                   2261        605      0.27  [ 0.18]
'Elixir.Mint.HTTP2':handle_decoded_headers_for_stream/5                   2261        594      0.26  [ 0.18]
'Elixir.TypeSafe.Client':'-response_event/3-fun-2-'/3                     2261        574      0.25  [ 0.17]
'Elixir.Mint.HTTP2':get_server_setting/2                                 10636        510      0.05  [ 0.15]
'Elixir.Mint.HTTP':protocol/1                                            10636        503      0.05  [ 0.15]
'Elixir.TypeSafe.Client':'-response_event/3-fun-8-'/4                     2261        496      0.22  [ 0.15]
'Elixir.Mint.HTTP2':handle_window_update/3                                2262        496      0.22  [ 0.15]
'Elixir.TypeSafe.Client':'-response_event/3-fun-11-'/2                    2261        470      0.21  [ 0.14]
'Elixir.TypeSafe.Client':handle_call/3                                    2261        465      0.21  [ 0.14]
'Elixir.Mint.HTTP2':handle_data/3                                         2261        458      0.20  [ 0.14]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-2-'/2       2261        452      0.20  [ 0.14]
'Elixir.TypeSafe.Client':events/2                                         1600        432      0.27  [ 0.13]
'Elixir.TypeSafe.Client':'-response_event/3-fun-6-'/3                     2261        402      0.18  [ 0.12]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-0-'/2                           2261        385      0.17  [ 0.12]
'Elixir.Mint.HTTP2':build_preface/2                                          1        362    362.00  [ 0.11]
'Elixir.Mint.HTTP2':maybe_refill_stream/3                                 2261        352      0.16  [ 0.11]
'Elixir.Mint.HTTP':request_body_window/2                                  6783        332      0.05  [ 0.10]
'Elixir.Mint.HTTP':stream_request_body/3                                  6783        325      0.05  [ 0.10]
'Elixir.Mint.HTTP2':encode_stream_body_request_payload/3                  6783        323      0.05  [ 0.10]
'Elixir.Mint.HTTP2':assert_frame_on_right_level/3                         6786        313      0.05  [ 0.09]
'Elixir.TypeSafe.Client':'-response_event/3-fun-5-'/2                     2261        305      0.13  [ 0.09]
'Elixir.Mint.HTTP':'open?'/2                                              6115        303      0.05  [ 0.09]
'Elixir.Mint.HTTP2':'open?'/2                                             6115        298      0.05  [ 0.09]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-0-'/3                         6783        295      0.04  [ 0.09]
'Elixir.TypeSafe.Client':'-response_event/3-fun-1-'/2                     2261        289      0.13  [ 0.09]
'Elixir.Mint.HTTP2':assert_stream_id_is_allowed/2                         6786        288      0.04  [ 0.09]
'Elixir.Mint.HTTP2':handle_frame/3                                        6786        285      0.04  [ 0.09]
'Elixir.Mint.HTTP2':assert_frame_doesnt_interrupt_header_streaming/2      6786        284      0.04  [ 0.09]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-1-'/2                       6783        284      0.04  [ 0.09]
'Elixir.Mint.HTTP2':assert_stream_in_state/3                              4522        279      0.06  [ 0.08]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-4-'/2                       6783        277      0.04  [ 0.08]
'Elixir.Mint.HTTP2':add_pseudo_headers/4                                  2261        267      0.12  [ 0.08]
'Elixir.TypeSafe.Client':'-response_event/3-fun-10-'/1                    2261        266      0.12  [ 0.08]
'Elixir.Mint.HTTP2':handle_headers/3                                      2261        252      0.11  [ 0.08]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-4-'/1                         2261        251      0.11  [ 0.08]
'Elixir.TypeSafe.Client':'-handle_info/2-fun-3-'/1                        2261        242      0.11  [ 0.07]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-2-'/2                    2261        241      0.11  [ 0.07]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-3-'/2                          2261        232      0.10  [ 0.07]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-1-'/1       2261        222      0.10  [ 0.07]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-3-'/2                   2261        218      0.10  [ 0.07]
'Elixir.Mint.HTTP2':maybe_concat_and_handle_new_data/2                    1600        217      0.14  [ 0.07]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-6-'/1                       2261        215      0.10  [ 0.06]
'Elixir.Mint.HTTP2':decode_hbf_and_add_responses/5                        2261        167      0.07  [ 0.05]
'Elixir.TypeSafe.Client':'-response_event/3-fun-7-'/3                     2261        165      0.07  [ 0.05]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-2-'/2                   2261        155      0.07  [ 0.05]
'Elixir.Mint.HTTP2':'close_stream!'/3                                     2261        145      0.06  [ 0.04]
'Elixir.Mint.HTTP':request/5                                              2261        143      0.06  [ 0.04]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-0-'/1       2261        137      0.06  [ 0.04]
'Elixir.Mint.HTTP2':encode_request_payload/4                              2261        129      0.06  [ 0.04]
'Elixir.TypeSafe.Client':cancel_timer/1                                   2261        128      0.06  [ 0.04]
'Elixir.TypeSafe.Client':'-submit/3-fun-0-'/2                             2261        125      0.06  [ 0.04]
'Elixir.Mint.HTTP2':'same_method?'/2                                      2261        119      0.05  [ 0.04]
'Elixir.TypeSafe.Client':'-response_event/3-fun-9-'/1                     2261        118      0.05  [ 0.04]
'Elixir.Mint.HTTP2':'-delete_stream/2-fun-2-'/1                           2261        117      0.05  [ 0.04]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-5-'/1                          2261        113      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-0-'/2                   2261        112      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-2-'/2                             2261        110      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-4-'/1                             2261        109      0.05  [ 0.03]
'Elixir.TypeSafe.Client':'-response_event/3-fun-4-'/2                     2261        108      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-0-'/2                             2261        107      0.05  [ 0.03]
'Elixir.TypeSafe.Client':'-send_chunk/4-fun-3-'/1                         2261        106      0.05  [ 0.03]
'Elixir.Mint.HTTP':connect/4                                                 1        106    106.00  [ 0.03]
'Elixir.Mint.HTTP2':assert_headers_smaller_than_max_header_list_size/2    2261        106      0.05  [ 0.03]
'Elixir.TypeSafe.Client':'-handle_info/2-fun-2-'/1                        2261        104      0.05  [ 0.03]
'Elixir.Mint.HTTP2':maybe_refill_conn/2                                   2261        102      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-5-'/1                       2261        102      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-2-'/2                          2261        101      0.04  [ 0.03]
'Elixir.Mint.HTTP2':add_default_content_length_header/2                   2261         96      0.04  [ 0.03]
'Elixir.Mint.HTTP2':'-handle_window_update/3-fun-1-'/2                    2261         96      0.04  [ 0.03]
'Elixir.TypeSafe.Client':'-response_event/3-fun-0-'/2                     2261         95      0.04  [ 0.03]
'Elixir.Mint.HTTP':stream/2                                               1600         88      0.06  [ 0.03]
'Elixir.Mint.HTTP2':handle_consumed_all_frames/2                          1600         87      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-decode_hbf/2-fun-0-'/2                              2261         85      0.04  [ 0.03]
'Elixir.Mint.HTTP2':'-handle_new_data/3-fun-0-'/2                         1600         80      0.05  [ 0.02]
'Elixir.Mint.HTTP2':connect/4                                                1         76     76.00  [ 0.02]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-1-'/2          1         72     72.00  [ 0.02]
'Elixir.TypeSafe.Request':options/1                                       2261         59      0.03  [ 0.02]
'Elixir.TypeSafe.Request':retry/1                                         2261         44      0.02  [ 0.01]
'Elixir.TypeSafe.Request':state/1                                         2261         40      0.02  [ 0.01]
'Elixir.TypeSafe.Client':decode/3                                         2261         39      0.02  [ 0.01]
