typesafe http2 pools=1 c=128 bytes=16384 q=32 delay=0: 11297 ok/s p99=15.94ms %{ok: 2000}
Saved 1 scenarios to results/upload-profile-after-call_time.json
FUNCTION                                                                CALLS  TIME (us)  PER CALL  [    %]
'Elixir.TypeSafe.Client':'-submit/3-fun-0-'/2                            2261        124      0.05  [ 0.05]
'Elixir.Mint.HTTP':request/5                                             2261        120      0.05  [ 0.04]
'Elixir.Mint.HTTP2':'same_method?'/2                                     2261        117      0.05  [ 0.04]
'Elixir.Mint.HTTP':connect/4                                                1        110    110.00  [ 0.04]
'Elixir.Mint.HTTP2':'-encode_data_chunk/4-fun-5-'/1                      2261        109      0.05  [ 0.04]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-4-'/1                            2261        106      0.05  [ 0.04]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-2-'/2                         2261        106      0.05  [ 0.04]
'Elixir.Mint.HTTP2':assert_headers_smaller_than_max_header_list_size/2   2261        104      0.05  [ 0.04]
'Elixir.Mint.HTTP2':'-open_stream/1-fun-2-'/2                            2261        103      0.05  [ 0.04]
'Elixir.Mint.HTTP2':maybe_refill_conn/2                                  2261         99      0.04  [ 0.04]
'Elixir.Mint.HTTP2':handle_consumed_all_frames/2                         1376         97      0.07  [ 0.04]
'Elixir.Mint.HTTP2':'-refill_client_windows/3-fun-2-'/2                  2261         97      0.04  [ 0.04]
'Elixir.Mint.HTTP2':add_default_content_length_header/2                  2261         96      0.04  [ 0.04]
'Elixir.Mint.HTTP2':connect/4                                               1         95     95.00  [ 0.03]
'Elixir.TypeSafe.Client':cancel_timer/1                                  2261         92      0.04  [ 0.03]
'Elixir.Mint.HTTP2':'-encode_headers/4-fun-5-'/1                         2261         91      0.04  [ 0.03]
'Elixir.Mint.HTTP2':'-decode_hbf/2-fun-0-'/2                             2261         91      0.04  [ 0.03]
'Elixir.Mint.HTTP2':'-handle_decoded_headers_for_stream/5-fun-0-'/1      2261         86      0.04  [ 0.03]
'Elixir.TypeSafe.Request':options/1                                      2261         84      0.04  [ 0.03]
'Elixir.Mint.HTTP':stream/2                                              1376         73      0.05  [ 0.03]
'Elixir.Mint.HTTP2':'-update_client_initial_window_size/2-fun-1-'/2         1         68     68.00  [ 0.02]
'Elixir.Mint.HTTP2':'-handle_new_data/3-fun-0-'/2                        1376         67      0.05  [ 0.02]
'Elixir.TypeSafe.Request':body/2                                         2261         49      0.02  [ 0.02]
'Elixir.TypeSafe.Request':retry/1                                        2261         43      0.02  [ 0.02]
'Elixir.TypeSafe.Request':'-options/1-fun-0-'/1                          9044         28      0.00  [ 0.01]
'Elixir.TypeSafe.Client':decode/3                                        2261         20      0.01  [ 0.01]
'Elixir.TypeSafe.Response':'valid_usage?'/1                              2261         19      0.01  [ 0.01]
'Elixir.Mint.HTTP2':initiate/5                                              1         16     16.00  [ 0.01]
'Elixir.TypeSafe.Request':'model?'/1                                     2261         15      0.01  [ 0.01]
'Elixir.TypeSafe.Request':state/1                                        2261         10      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'send_connection_error!'/3                              1          9      9.00  [ 0.00]
'Elixir.TypeSafe.Client':emit_stop/4                                     2261          8      0.00  [ 0.00]
'Elixir.TypeSafe.Client':init/1                                             1          8      8.00  [ 0.00]
'Elixir.TypeSafe.Client':usage/1                                         2261          8      0.00  [ 0.00]
'Elixir.TypeSafe.Client':outcome/1                                       2261          6      0.00  [ 0.00]
'Elixir.TypeSafe.Client':start_configured/1                                 1          5      5.00  [ 0.00]
'Elixir.Mint.HTTP2':controlling_process/2                                   1          5      5.00  [ 0.00]
'Elixir.TypeSafe.Client':terminate/2                                        1          1      1.00  [ 0.00]
'Elixir.Mint.HTTP2':set_mode/2                                              1          1      1.00  [ 0.00]
'Elixir.Mint.HTTP2':update_client_initial_window_size/2                     1          1      1.00  [ 0.00]
'Elixir.Mint.HTTP2':'validate_client_settings!'/1                           1          1      1.00  [ 0.00]
'Elixir.Mint.HTTP2':'-initiate/5-fun-0-'/2                                  1          1      1.00  [ 0.00]
'Elixir.TypeSafe.Client':activate/1                                         1          0      0.00  [ 0.00]
'Elixir.TypeSafe.Client':close/1                                            1          0      0.00  [ 0.00]
'Elixir.TypeSafe.Client':stop_connector/1                                   8          0      0.00  [ 0.00]
'Elixir.Mint.HTTP':close/1                                                  1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP':controlling_process/2                                    1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP':set_mode/2                                               1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':apply_client_settings/1                                 1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':apply_client_settings/2                                 1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':apply_server_settings/2                                 1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':close/1                                                 1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':handle_settings/3                                       2          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'validate_receive_window_update_threshold!'/1           1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':'validate_window_size!'/2                               1          0      0.00  [ 0.00]
'Elixir.Mint.HTTP2':wrap_error/1                                            1          0      0.00  [ 0.00]
